x:0.3891296,y:0.38346887,z:-0.022517458
x:0.36235476,y:0.3706254,z:-0.0443061
x:0.3749513,y:0.37257728,z:-0.02260856
x:0.34582692,y:0.35540658,z:-0.030655932
x:0.3565674,y:0.36629322,z:-0.04752505
x:0.35247868,y:0.35935614,z:-0.04473124
x:0.3446172,y:0.34110788,z:-0.024415422
x:0.31025398,y:0.34909782,z:0.038505916
x:0.33473003,y:0.32944024,z:-0.020118428
x:0.32733282,y:0.32378036,z:-0.022426356
x:0.30348137,y:0.29804918,z:-0.0150318835
x:0.3918755,y:0.38556594,z:-0.021287577
x:0.3951623,y:0.3876348,z:-0.018296383
x:0.39806736,y:0.38871092,z:-0.013908288
x:0.39817053,y:0.38867486,z:-0.012754325
x:0.4004507,y:0.3912565,z:-0.01334649
x:0.40350318,y:0.39388996,z:-0.01444731
x:0.40730292,y:0.3964231,z:-0.0124051
x:0.41424203,y:0.39946774,z:-0.0030576217
x:0.3673564,y:0.37217528,z:-0.03987245
x:0.36437845,y:0.37297493,z:-0.025341628
x:0.28167948,y:0.33559632,z:0.0915882
x:0.32839435,y:0.34661794,z:0.019845122
x:0.3233361,y:0.34902972,z:0.02420285
x:0.31833088,y:0.35110116,z:0.029896745
x:0.31019214,y:0.3513719,z:0.04145156
x:0.33190802,y:0.34410256,z:0.016322501
x:0.30930817,y:0.33905092,z:0.020589124
x:0.3161786,y:0.33737326,z:0.015441844
x:0.3044297,y:0.34156072,z:0.02705739
x:0.3026921,y:0.34425974,z:0.03285757
x:0.30906475,y:0.35578832,z:0.04810203
x:0.40180725,y:0.4100893,z:0.020589124
x:0.30814192,y:0.34919256,z:0.04239295
x:0.303083,y:0.35458106,z:0.097479485
x:0.30210873,y:0.3536345,z:0.060309738
x:0.34253627,y:0.37119806,z:0.013786818
x:0.38020164,y:0.38457865,z:-0.01661099
x:0.3885373,y:0.38914627,z:-0.012708774
x:0.37559217,y:0.38739666,z:-0.0062860604
x:0.37403584,y:0.38987142,z:0.0039629512
x:0.38379437,y:0.39016065,z:-0.0050409953
x:0.38080242,y:0.39120653,z:0.0038680527
x:0.37994778,y:0.39794096,z:0.022669295
x:0.3574556,y:0.3720162,z:-0.040965676
x:0.35120258,y:0.3681686,z:-0.043395076
x:0.29212803,y:0.3427236,z:0.039599143
x:0.34229994,y:0.3551915,z:0.004581688
x:0.34993443,y:0.37239286,z:-0.011258729
x:0.3480544,y:0.36959088,z:-0.008502884
x:0.3278529,y:0.37512422,z:0.036380194
x:0.34760168,y:0.36154366,z:-0.038141504
x:0.29758185,y:0.33542722,z:0.013399633
x:0.29273808,y:0.33880982,z:0.026222287
x:0.27414477,y:0.32761133,z:0.06960218
x:0.323379,y:0.33107525,z:-0.00970999
x:0.32318538,y:0.3368546,z:0.014591556
x:0.3707168,y:0.39489305,z:0.027482534
x:0.36440405,y:0.39002052,z:0.12104461
x:0.3577453,y:0.37344342,z:-0.010818401
x:0.36377048,y:0.3735897,z:-0.016140295
x:0.37489668,y:0.3931101,z:0.023519583
x:0.37659752,y:0.39283735,z:0.018949283
x:0.28810048,y:0.33648914,z:0.032007284
x:0.35361034,y:0.37384304,z:-0.006745368
x:0.3068462,y:0.33255073,z:0.001139728
x:0.3022185,y:0.32946232,z:-4.5978205E-4
x:0.27571917,y:0.31266117,z:0.019374428
x:0.27893505,y:0.33317694,z:0.04782872
x:0.28653106,y:0.32199436,z:0.008267536
x:0.28827232,y:0.34117538,z:0.049104154
x:0.28376552,y:0.33981454,z:0.06856968
x:0.38423276,y:0.3871918,z:-0.015479804
x:0.3796793,y:0.38902488,z:-0.006027937
x:0.37726438,y:0.39059308,z:0.0030595197
x:0.360525,y:0.37375885,z:-0.010841177
x:0.37574708,y:0.39297372,z:0.020816881
x:0.3792461,y:0.3936813,z:0.01346796
x:0.3775511,y:0.39266488,z:0.018129362
x:0.35561255,y:0.37241915,z:-0.023367746
x:0.38368535,y:0.3914859,z:0.0049764644
x:0.38719022,y:0.39090428,z:-0.0017736483
x:0.39195818,y:0.390042,z:-0.008457333
x:0.40573487,y:0.40147623,z:0.0014899025
x:0.39861742,y:0.39801124,z:-0.0073109614
x:0.39512718,y:0.39536992,z:-0.008905252
x:0.3930283,y:0.392564,z:-0.007637412
x:0.39206135,y:0.39000595,z:-0.007276798
x:0.38368535,y:0.3914859,z:0.0058798958
x:0.3831386,y:0.39280328,z:0.005067567
x:0.3829765,y:0.39446884,z:0.004737321
x:0.38358673,y:0.39618623,z:0.0074665947
x:0.3641873,y:0.3867176,z:0.008556026
x:0.33417344,y:0.36977735,z:0.13568173
x:0.37105066,y:0.37241235,z:-0.028803516
x:0.38092774,y:0.3919672,z:0.013164286
x:0.37986806,y:0.3928203,z:0.0127391415
x:0.3676542,y:0.37464544,z:-0.016155478
x:0.3599252,y:0.37541655,z:-0.00271409
x:0.36582804,y:0.37415758,z:-0.016565438
x:0.33975616,y:0.35962033,z:0.0119419955
x:0.3337658,y:0.365978,z:0.020255083
x:0.3507502,y:0.3713837,z:-0.0032512143
x:0.27159104,y:0.3200572,z:0.0443061
x:0.27944517,y:0.3271663,z:0.028196169
x:0.29256102,y:0.33243605,z:0.016109927
x:0.3874838,y:0.3999725,z:0.016140295
x:0.31563032,y:0.32626227,z:-0.012853019
x:0.29793024,y:0.3168431,z:-0.007383084
x:0.28589052,y:0.30568662,z:-9.935847E-4
